Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,2020-03-01,7728,ABDB,6,12,0143,4002
Intermedio,2020-03-04,4534,DACC,17,2,9357,6109
Dominical,2020-03-08,0074,CBDD,10,13,9353,3126
Intermedio,2020-03-11,8433,CDAC,18,7,0220,0664
Dominical,2020-03-15,2431,DBBA,15,2,8005,7137
Intermedio,2020-03-18,9206,DBDA,6,8,5423,5590
Dominical,2020-03-22,1129,DABB,19,6,8303,3475
Intermedio,2020-03-25,5564,AACD,19,15,5038,9421
Zodiaco,2020-03-27,7606,BDCB,1,8,0000,0071
Dominical,2020-03-29,2875,DAAD,10,14,7928,9039
Dominical,2020-02-02,9722,DDBD,6,14,3513,9021
Intermedio,2020-02-05,7915,DDDA,2,5,1037,3068
Dominical,2020-02-09,6967,ADAC,15,4,8332,5352
Intermedio,2020-02-12,9118,DAAB,18,14,7100,0634
Zodiaco,2020-02-14,9789,CCBD,9,14,0063,0026
Dominical,2020-02-16,7266,AACB,2,2,4272,0589
Intermedio,2020-02-19,5134,ABBC,13,13,6622,1284
Dominical,2020-02-22,9331,DAAB,23,3,5533,0525
Intermedio,2020-02-27,0035,ADAD,9,3,6798,3639
Intermedio,2020-01-02,3462,DADA,16,15,8509,3767
Dominical,2020-01-05,2122,ADDB,9,8,8140,3389
Intermedio,2020-01-08,7909,CDBC,14,14,4349,0563
Dominical,2020-01-12,3378,DBAD,25,15,0533,7273
Intermedio,2020-01-15,6700,CBDA,10,2,7315,8868
Dominical,2020-01-19,6173,CDCA,4,2,6376,0165
Intermedio,2020-01-22,3149,ABBD,3,11,8067,8501
Dominical,2020-01-26,7318,BCCC,10,4,8822,2552
Intermedio,2020-01-29,3084,CADA,21,9,8465,1723
Zodiaco,2020-01-31,7581,BBCB,1,11,0056,0049
Dominical,2019-12-29,0635,BBCA,10,2,6894,4229
Intermedio,2019-12-26,5755,AACB,20,7,9932,6638
Dominical,2019-12-22,4397,BBAA,14,12,3798,4577
Zodiaco,2019-12-20,6080,DCCB,8,22,0010,0092
Intermedio,2019-12-18,3469,ADCC,5,2,7378,5221
Extraordinaria,2019-12-15,41435,BBAA,2,12,20035,49304
Intermedio,2019-12-11,1457,CCDC,21,5,4253,7920
Dominical,2019-12-07,9858,CACA,22,5,3435,4673
Dominical,2019-12-07,9858,CACA,22,5,3435,4673
Dominical,2019-12-01,3370,DDBD,3,9,2358,1116
Intermedio,2019-10-30,0025,BCDD,20,11,0232,0117
Dominical,2019-10-27,5685,DADB,20,1,5034,3519
Zodiaco,2019-10-25,4278,DBDB,8,10,0019,0003
Intermedio,2019-10-23,4868,ABBC,1,11,4281,2040
Intermedio,2019-10-02,3354,DCCD,17,9,8538,2080
Dominical,2019-10-06,1418,DACA,23,2,8832,9346
Intermedio,2019-10-09,5254,DBAA,10,8,5695,0252
Dominical,2019-10-13,1725,DDBC,6,3,5472,4486
Intermedio,2019-10-16,0448,ACCA,14,10,2619,8838
Dominical,2019-10-20,8470,CDDA,10,12,7993,2019
Dominical,2019-09-01,9209,DCBC,10,14,0306,1669
Intermedio,2019-09-04,3147,ADBD,5,12,0011,6325
Dominical,2019-09-08,7042,DBDD,25,10,7358,5641
Intermedio,2019-09-11,8028,AADD,3,8,2231,2924
Dominical,2019-09-15,0039,ACCA,22,3,9760,8200
Intermedio,2019-09-18,1339,DCCA,21,3,9886,1627
Dominical,2019-09-22,9284,BADD,3,14,2952,8947
Intermedio,2019-09-25,1663,AACC,21,10,3333,7492
Zodiaco,2019-09-27,3235,ABBA,6,22,0054,0094
Dominical,2019-09-29,6477,BACA,1,7,0697,9177
Zodiaco,2019-08-02,1163,CCBA,5,24,0088,0065
Extraordinaria,2019-08-04,4316,ACAD,8,4,3927,2156
Intermedio,2019-08-07,6543,ADBB,14,9,6619,9208
