Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,7/12/2019,9858,CACA,22,5,3435,4673
Dominical,7/12/2019,9858,CACA,22,5,3435,4673
Dominical,1/12/2019,3370,DDBD,3,9,2358,1116
Intermedio,30-10-2019,25,BCDD,20,11,232,117
Dominical,27-10-2019,5685,DADB,20,1,5034,3519
Zodiaco,25-10-2019,4278,DBDB,8,10,19,3
Intermedio,23-10-2019,4868,ABBC,1,11,4281,2040
Intermedio,2/10/2019,3354,DCCD,17,9,8538,2080
Dominical,6/10/2019,1418,DACA,23,2,8832,9346
Intermedio,9/10/2019,5254,DBAA,10,8,5695,252
Dominical,13-10-2019,1725,DDBC,6,3,5472,4486
Intermedio,16-10-2019,448,ACCA,14,10,2619,8838
Dominical,20-10-2019,8470,CDDA,10,12,7993,2019
Dominical,1/9/2019,9209,DCBC,10,14,306,1669
Intermedio,4/9/2019,3147,ADBD,5,12,11,6325
Dominical,8/9/2019,7042,DBDD,25,10,7358,5641
Intermedio,11/9/2019,8028,AADD,3,8,2231,2924
Dominical,15-09-2019,39,ACCA,22,3,9760,8200
Intermedio,18-09-2019,1339,DCCA,21,3,9886,1627
Dominical,22-09-2019,9284,BADD,3,14,2952,8947
Intermedio,25-09-2019,1663,AACC,21,10,3333,7492
Zodiaco,27-09-2019,3235,ABBA,6,22,54,94
Dominical,29-09-2019,6477,BACA,1,7,697,9177
Zodiaco,2/8/2019,1163,CCBA,5,24,88,65
Extraordinaria,4/8/2019,4316,ACAD,8,4,3927,2156
Intermedio,7/8/2019,6543,ADBB,14,9,6619,9208
Dominical,11/8/2019,2649,BABD,15,14,9289,8715
Intermedio,14-08-2019,4334,ADDC,12,6,2620,9183
Extraordinaria,18-08-2019,5309,BCCC,3,6,98327,61748
Intermedio,21-08-2019,7708,ABDB,1,11,9210,6640
Dominical,25-08-2019,129,BCCD,24,11,3157,7165
Intermedio,28-08-2019,6003,DCCD,7,7,4463,8946
Zodiaco,30-08-2019,9562,CBDB,2,2,88,78
Intermedio,3/7/2019,433,DCAB,1,4,8194,1041
Dominical,7/7/2019,611,DBDC,2,6,6218,1008
Intermedio,10/7/2019,3640,BCBB,8,2,8424,6719
Dominical,14-07-2019,6311,CBDD,18,7,3561,2291
Intermedio,17-07-2019,2149,CADA,12,9,6279,6451
Dominical,21-07-2019,768,ACCB,10,13,6752,8565
Intermedio,24-07-2019,9878,BBCA,19,10,3801,3239
Dominical,28-07-2019,8896,BCCC,15,11,9944,66
Intermedio,31-07-2019,3827,DAAB,8,15,5496,2342
